1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,3,1,0,2,3,1,2,1,5,1,2,7,2,4,3,2,7,3,3,6,9,8,13,9,11,7,5,15,10,10,5,12,11,4,7,8,7,8,12,5,4,7,9,7,9,3,9,7,5,4,10,2,9,4,6,6,6,7,8,4,5,8,6,3,4,8,4,1,3,3,4,3,4,4,5,1,5,7,6,3,4,1,3,3,2,4,3,4,3,4,10,3,3,5,2,9,1,5,6,3,5,7,4,5,7,5,3,4,6,3,3,2,9,1,4,2,4,2,4,6,5,5,1,9,2,5,6,0,5,6,6,5,4,3,7,7,8,3,6,12,6,7,1,9,10,4,4,5,5,4,4,4,6,6,2,7,4,8,3,2,4,3,1,5,4,3,3,3,4,4,3,3,5,6,1,3,2,4,6,3,3,4,2,5,1,8,6,7,2,7,6,3,7,7,2,5,5,3,2,2,3,5,0,2,2,9,2,3,5,4,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,cifar_8_14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,1,2,0,2,1,1,1,2,2,2,2,0,3,3,4,2,7,3,7,3,5,6,4,2,8,7,6,3,8,4,7,11,5,6,8,2,6,6,5,2,9,4,4,6,8,5,3,9,5,3,8,9,13,5,13,10,9,8,11,8,13,9,9,12,6,6,8,8,10,6,13,8,16,7,6,15,9,12,14,12,9,14,6,9,12,9,14,5,7,15,7,4,14,9,11,11,6,8,9,10,9,8,2,10,11,10,6,6,8,9,9,4,8,6,8,4,7,5,7,6,9,6,3,10,4,7,10,4,7,7,4,8,10,9,3,9,7,8,6,2,7,4,1,5,3,2,2,2,4,3,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,1,0,0,1,2,1,1,1,1,0,0,3,1,4,0,1,1,1,2,3,2,2,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,1,1,0,0,2,1,1,4,3,3,6,5,3,10,14,25,30,24,34,15,14,13,13,6,5,1,2,7,2,2,4,3,5,4,10,3,8,7,3,3,4,2,3,4,4,4,1,4,0,2,3,5,11,6,10,14,20,34,44,44,57,66,61,60,29,20,24,12,12,7,10,13,5,6,2,6,4,3,8,3,1,2,5,6,0,4,3,5,4,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,3,2,1,1,3,0,7,2,8,3,6,4,9,11,8,8,5,15,12,15,16,20,14,26,24,21,18,19,9,11,10,9,5,7,2,7,7,4,6,4,1,1,4,2,2,2,2,2,2,3,3,0,1,1,4,2,3,4,1,1,3,2,2,2,5,2,0,1,2,1,1,1,1,1,2,0,2,5,7,30,17,26,13,19,23,32,17,30,28,21,17,36,32,41,37,44,53,36,11,1,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,2,2,1,2,1,5,2,2,1,0,2,2,1,2,1,2,0,0,1,0,2,2,1,3,1,2,2,1,0,2,1,0,1,0,0,1,4,1,1,2,1,1,2,2,1,3,3,2,2,2,3,0,5,2,4,6,9,5,3,3,5,2,8,2,4,13,9,11,16,15,26,25,33,37,41,53,42,53,44,56,65,63,57,49,39,35,27,16,16,14,4,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_18
0,0,0,0,1,1,2,1,2,1,4,3,8,3,7,3,5,4,2,2,2,1,2,4,3,4,3,4,2,2,4,2,1,3,3,3,2,5,7,11,9,3,9,8,6,8,15,9,9,9,11,12,10,12,14,5,10,9,7,5,9,4,3,7,2,5,7,8,6,9,6,9,5,10,6,5,3,9,7,4,7,8,6,5,5,7,5,3,10,6,9,3,6,5,3,5,4,4,6,5,6,3,7,3,6,4,4,5,1,7,9,3,6,3,5,4,3,2,5,3,0,4,1,1,1,1,5,1,4,3,2,1,1,1,3,0,2,3,0,0,0,2,3,0,0,1,2,1,0,1,1,2,1,1,1,1,1,0,0,4,0,2,2,2,3,1,0,1,0,1,3,1,1,1,0,1,1,0,1,1,4,2,1,0,3,0,2,0,2,4,1,2,2,0,2,0,2,2,1,2,2,5,4,4,3,5,5,4,3,7,6,13,5,10,5,8,13,3,8,5,5,5,4,9,3,4,10,6,6,8,6,15,4,13,7,6,4,3,5,9,2,1,4,3,5,4,2,3,2,4,3,3,3,1,2,0,cifar_8_19
35,3,10,6,6,6,6,7,6,6,8,7,8,3,8,3,7,4,8,4,3,2,4,4,2,2,1,4,0,2,2,5,3,2,1,4,3,4,2,1,1,2,6,2,4,3,2,5,4,6,1,4,3,0,3,4,4,1,3,5,7,3,6,1,4,5,4,7,3,6,2,3,2,6,3,2,3,4,6,5,10,9,4,6,3,1,2,9,9,1,3,5,6,6,4,9,3,8,6,5,1,2,8,2,3,2,8,4,6,4,5,4,3,3,3,6,4,1,3,2,6,6,7,6,4,4,6,6,4,6,5,6,5,5,8,6,8,10,8,6,5,8,6,2,7,6,4,9,4,4,5,4,6,4,3,7,6,8,8,1,2,5,10,3,6,2,2,3,4,4,5,4,3,3,6,2,4,4,7,4,3,2,2,6,0,7,3,5,3,1,3,3,5,3,4,6,6,3,3,2,6,6,4,1,2,4,1,3,1,2,3,2,3,3,2,3,3,2,0,2,2,2,3,2,3,5,2,2,2,2,3,1,2,1,0,3,0,3,2,0,3,2,0,2,1,0,1,0,0,3,3,0,0,0,3,1,cifar_8_20
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,3,2,3,3,4,4,6,7,9,15,9,16,7,7,10,8,6,8,15,6,10,4,10,8,5,4,3,7,5,2,6,8,1,5,3,6,3,7,9,8,5,2,6,4,7,8,2,6,6,7,8,7,1,0,6,5,5,4,4,2,4,5,3,5,4,4,2,1,2,1,3,1,1,4,1,3,2,1,3,0,4,2,1,3,2,1,1,3,4,2,1,0,1,3,6,3,3,1,2,1,1,3,2,5,4,4,8,4,4,2,3,8,8,5,3,8,12,5,10,11,10,9,10,8,11,9,12,16,16,16,9,9,5,11,5,8,16,22,11,8,19,14,8,20,14,7,10,8,7,11,4,11,5,6,6,4,5,3,2,2,2,6,3,3,4,3,6,6,4,2,1,0,2,4,2,2,2,2,3,5,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_21
0,0,0,1,1,1,1,4,1,0,2,1,0,4,1,4,4,2,2,1,0,2,2,7,2,2,1,4,3,2,3,4,1,0,2,3,4,2,2,0,2,3,2,4,1,7,2,2,0,0,1,3,2,1,3,3,5,2,6,0,9,7,7,4,3,5,4,7,4,5,6,8,5,8,6,7,8,12,11,11,8,5,7,7,13,5,8,9,14,15,7,7,6,2,6,6,5,5,7,11,5,3,1,1,3,2,0,6,0,3,1,1,1,2,5,5,2,3,3,5,3,8,2,6,4,2,6,4,3,3,1,6,5,4,6,2,10,4,7,4,3,7,7,2,6,4,9,4,6,3,4,7,2,1,6,2,6,8,5,2,4,7,3,1,4,2,3,6,4,2,4,1,6,8,5,3,4,7,2,4,6,1,9,11,7,5,1,3,4,7,11,11,9,3,12,9,11,8,7,11,7,8,6,4,6,6,4,4,6,4,6,9,1,6,1,1,4,3,2,2,6,2,2,2,3,3,1,0,5,4,4,0,6,4,1,1,0,5,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,3,1,2,2,4,3,6,1,0,2,4,2,3,4,1,4,2,1,0,4,1,2,2,2,4,3,2,1,6,4,1,3,3,4,3,2,5,6,8,13,3,10,12,13,17,6,6,8,4,3,8,5,5,8,8,15,11,16,8,14,12,15,13,12,9,21,14,7,10,14,15,17,16,14,13,27,11,10,9,7,15,4,9,10,5,10,5,5,3,7,3,3,4,6,2,8,7,4,9,5,3,2,2,5,7,5,11,10,4,11,5,5,11,4,5,5,2,11,5,5,3,4,8,6,2,5,12,13,3,7,1,3,2,5,4,1,3,5,2,2,2,3,3,4,2,2,4,7,3,10,4,3,1,1,2,3,1,3,2,3,2,1,3,1,2,3,2,1,0,0,5,1,2,0,1,1,2,1,1,0,2,1,2,0,1,1,0,5,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cifar_8_23
